file,true_count,false_count,total_statements,score
validation_inferences_table_0.txt,8,0,8,16
validation_inferences_table_1.txt,8,0,8,16
validation_inferences_table_10.txt,7,1,8,13
validation_inferences_table_11.txt,7,0,7,14
validation_inferences_table_12.txt,8,0,8,16
validation_inferences_table_13.txt,8,0,8,16
validation_inferences_table_14.txt,7,0,7,14
validation_inferences_table_15.txt,9,0,9,18
validation_inferences_table_16.txt,8,0,8,16
validation_inferences_table_17.txt,8,0,8,16
validation_inferences_table_18.txt,9,0,9,18
validation_inferences_table_19.txt,8,0,8,16
validation_inferences_table_2.txt,7,1,8,13
validation_inferences_table_20.txt,8,0,8,16
validation_inferences_table_21.txt,8,0,8,16
validation_inferences_table_22.txt,8,0,8,16
validation_inferences_table_23.txt,5,2,7,8
validation_inferences_table_24.txt,8,0,8,16
validation_inferences_table_25.txt,8,0,8,16
validation_inferences_table_26.txt,8,0,8,16
validation_inferences_table_27.txt,8,0,8,16
validation_inferences_table_28.txt,8,0,8,16
validation_inferences_table_29.txt,9,0,9,18
validation_inferences_table_3.txt,8,0,8,16
validation_inferences_table_30.txt,9,0,9,18
validation_inferences_table_31.txt,9,1,10,17
validation_inferences_table_32.txt,9,0,9,18
validation_inferences_table_33.txt,7,1,8,13
validation_inferences_table_34.txt,7,0,7,14
validation_inferences_table_35.txt,8,0,8,16
validation_inferences_table_36.txt,8,0,8,16
validation_inferences_table_37.txt,7,1,8,13
validation_inferences_table_38.txt,9,0,9,18
validation_inferences_table_39.txt,9,0,9,18
validation_inferences_table_4.txt,9,0,9,18
validation_inferences_table_40.txt,8,0,8,16
validation_inferences_table_41.txt,8,2,10,14
validation_inferences_table_42.txt,8,0,8,16
validation_inferences_table_43.txt,8,0,8,16
validation_inferences_table_44.txt,8,0,8,16
validation_inferences_table_45.txt,9,0,9,18
validation_inferences_table_46.txt,8,0,8,16
validation_inferences_table_47.txt,8,0,8,16
validation_inferences_table_48.txt,7,1,8,13
validation_inferences_table_49.txt,9,0,9,18
validation_inferences_table_5.txt,7,0,7,14
validation_inferences_table_50.txt,7,0,7,14
validation_inferences_table_51.txt,8,0,8,16
validation_inferences_table_52.txt,8,0,8,16
validation_inferences_table_53.txt,8,0,8,16
validation_inferences_table_54.txt,8,1,9,15
validation_inferences_table_55.txt,8,0,8,16
validation_inferences_table_56.txt,8,0,8,16
validation_inferences_table_57.txt,12,0,12,24
validation_inferences_table_58.txt,6,0,6,12
validation_inferences_table_59.txt,9,0,9,18
validation_inferences_table_6.txt,8,1,9,15
validation_inferences_table_60.txt,8,1,9,15
validation_inferences_table_61.txt,8,1,9,15
validation_inferences_table_62.txt,8,0,8,16
validation_inferences_table_63.txt,10,0,10,20
validation_inferences_table_64.txt,8,0,8,16
validation_inferences_table_65.txt,4,5,9,3
validation_inferences_table_66.txt,9,1,10,17
validation_inferences_table_67.txt,8,0,8,16
validation_inferences_table_68.txt,9,0,9,18
validation_inferences_table_69.txt,9,1,10,17
validation_inferences_table_7.txt,7,1,8,13
validation_inferences_table_70.txt,9,0,9,18
validation_inferences_table_71.txt,8,0,8,16
validation_inferences_table_72.txt,7,1,8,13
validation_inferences_table_73.txt,8,0,8,16
validation_inferences_table_74.txt,7,0,7,14
validation_inferences_table_75.txt,7,1,8,13
validation_inferences_table_76.txt,8,0,8,16
validation_inferences_table_77.txt,7,1,8,13
validation_inferences_table_78.txt,0,0,0,0
validation_inferences_table_79.txt,9,1,10,17
validation_inferences_table_8.txt,10,0,10,20
validation_inferences_table_80.txt,7,0,7,14
validation_inferences_table_81.txt,7,0,7,14
validation_inferences_table_82.txt,8,0,8,16
validation_inferences_table_83.txt,8,0,8,16
validation_inferences_table_84.txt,9,0,9,18
validation_inferences_table_85.txt,8,0,8,16
validation_inferences_table_86.txt,8,0,8,16
validation_inferences_table_87.txt,8,0,8,16
validation_inferences_table_88.txt,8,0,8,16
validation_inferences_table_89.txt,8,1,9,15
validation_inferences_table_9.txt,10,0,10,20
validation_inferences_table_90.txt,0,0,0,0
validation_inferences_table_91.txt,8,1,9,15
validation_inferences_table_92.txt,7,0,7,14
validation_inferences_table_93.txt,6,3,9,9
validation_inferences_table_94.txt,8,0,8,16
validation_inferences_table_95.txt,9,0,9,18
validation_inferences_table_96.txt,8,0,8,16
validation_inferences_table_97.txt,6,1,7,11
validation_inferences_table_98.txt,7,1,8,13
validation_inferences_table_99.txt,9,0,9,18
