file,true_count,false_count,total_statements,score
validation_inferences_table_0.txt,10,6,16,14
validation_inferences_table_1.txt,7,12,19,2
validation_inferences_table_10.txt,13,3,16,23
validation_inferences_table_11.txt,5,10,15,0
validation_inferences_table_12.txt,12,5,17,19
validation_inferences_table_13.txt,13,3,16,23
validation_inferences_table_14.txt,14,6,20,22
validation_inferences_table_15.txt,12,7,19,17
validation_inferences_table_16.txt,0,0,0,0
validation_inferences_table_17.txt,11,8,19,14
validation_inferences_table_18.txt,15,3,18,27
validation_inferences_table_19.txt,7,11,18,3
validation_inferences_table_2.txt,9,10,19,8
validation_inferences_table_20.txt,11,7,18,15
validation_inferences_table_21.txt,11,6,17,16
validation_inferences_table_22.txt,8,9,17,7
validation_inferences_table_23.txt,12,5,17,19
validation_inferences_table_24.txt,11,6,17,16
validation_inferences_table_25.txt,0,0,0,0
validation_inferences_table_26.txt,14,4,18,24
validation_inferences_table_27.txt,11,7,18,15
validation_inferences_table_28.txt,11,7,18,15
validation_inferences_table_29.txt,0,0,0,0
validation_inferences_table_3.txt,0,0,0,0
validation_inferences_table_30.txt,5,12,17,-2
validation_inferences_table_31.txt,10,11,21,9
validation_inferences_table_32.txt,13,5,18,21
validation_inferences_table_33.txt,9,7,16,11
validation_inferences_table_34.txt,10,8,18,12
validation_inferences_table_35.txt,16,5,21,27
validation_inferences_table_36.txt,10,11,21,9
validation_inferences_table_37.txt,10,10,20,10
validation_inferences_table_38.txt,11,8,19,14
validation_inferences_table_39.txt,13,3,16,23
validation_inferences_table_4.txt,10,7,17,13
validation_inferences_table_40.txt,9,4,13,14
validation_inferences_table_41.txt,6,4,10,8
validation_inferences_table_42.txt,6,11,17,1
validation_inferences_table_43.txt,8,9,17,7
validation_inferences_table_44.txt,13,3,16,23
validation_inferences_table_45.txt,13,6,19,20
validation_inferences_table_46.txt,10,11,21,9
validation_inferences_table_47.txt,17,4,21,30
validation_inferences_table_48.txt,10,7,17,13
validation_inferences_table_49.txt,8,5,13,11
validation_inferences_table_5.txt,10,7,17,13
validation_inferences_table_50.txt,0,0,0,0
validation_inferences_table_51.txt,15,2,17,28
validation_inferences_table_52.txt,8,10,18,6
validation_inferences_table_53.txt,12,6,18,18
validation_inferences_table_54.txt,9,6,15,12
validation_inferences_table_55.txt,10,7,17,13
validation_inferences_table_56.txt,7,5,12,9
validation_inferences_table_57.txt,10,6,16,14
validation_inferences_table_58.txt,14,5,19,23
validation_inferences_table_59.txt,7,6,13,8
validation_inferences_table_6.txt,10,7,17,13
validation_inferences_table_60.txt,7,6,13,8
validation_inferences_table_61.txt,10,7,17,13
validation_inferences_table_62.txt,13,5,18,21
validation_inferences_table_63.txt,14,6,20,22
validation_inferences_table_64.txt,15,7,22,23
validation_inferences_table_65.txt,14,5,19,23
validation_inferences_table_66.txt,0,0,0,0
validation_inferences_table_67.txt,9,8,17,10
validation_inferences_table_68.txt,14,5,19,23
validation_inferences_table_69.txt,8,3,11,13
validation_inferences_table_7.txt,9,10,19,8
validation_inferences_table_70.txt,11,7,18,15
validation_inferences_table_71.txt,10,7,17,13
validation_inferences_table_72.txt,14,5,19,23
validation_inferences_table_73.txt,12,8,20,16
validation_inferences_table_74.txt,12,6,18,18
validation_inferences_table_75.txt,0,0,0,0
validation_inferences_table_76.txt,0,0,0,0
validation_inferences_table_77.txt,20,2,22,38
validation_inferences_table_78.txt,8,10,18,6
validation_inferences_table_79.txt,0,0,0,0
validation_inferences_table_8.txt,10,6,16,14
validation_inferences_table_80.txt,14,7,21,21
validation_inferences_table_81.txt,12,10,22,14
validation_inferences_table_82.txt,12,6,18,18
validation_inferences_table_83.txt,15,3,18,27
validation_inferences_table_84.txt,9,8,17,10
validation_inferences_table_85.txt,14,5,19,23
validation_inferences_table_86.txt,0,0,0,0
validation_inferences_table_87.txt,14,2,16,26
validation_inferences_table_88.txt,10,7,17,13
validation_inferences_table_89.txt,8,9,17,7
validation_inferences_table_9.txt,12,5,17,19
validation_inferences_table_90.txt,11,5,16,17
validation_inferences_table_91.txt,10,8,18,12
validation_inferences_table_92.txt,11,4,15,18
validation_inferences_table_93.txt,10,10,20,10
validation_inferences_table_94.txt,8,9,17,7
validation_inferences_table_95.txt,14,4,18,24
validation_inferences_table_96.txt,0,0,0,0
validation_inferences_table_97.txt,13,5,18,21
validation_inferences_table_98.txt,12,6,18,18
validation_inferences_table_99.txt,10,4,14,16
